23:39:44.944 20,12,-17,-8,-1,-35,-39,1,13,-20,34,-20,21,23,25,20,12,39,-21,56
23:39:45.041 106,107,73,62,74,47,105,116,79,83,73,59,50,77,83,72,37,82,68,70
23:39:45.139 77,18,45,5,48,42,52,28,54,39,15,40,35,34,77,52,34,46,35,26
23:39:45.237 61,98,45,80,86,59,64,30,32,17,44,34,43,36,42,22,10,52,49,65
23:39:45.335 56,43,27,68,42,60,60,69,37,71,-35,76,56,75,71,62,59,40,30,5
23:39:45.433 68,69,116,78,4,84,92,67,63,67,66,63,18,82,38,50,61,64,35,65
23:39:45.531 49,107,70,61,51,60,71,63,30,19,24,18,59,38,30,77,44,30,82,45
23:39:45.630 65,49,49,60,50,48,31,8,48,14,40,33,-4,-8,58,16,16,-6,27,45
23:39:45.727 32,17,-6,-17,-33,-55,26,-49,10,68,15,26,31,-4,55,14,56,25,57,-30
23:39:45.824 79,31,-10,57,7,-11,11,13,-6,-51,-8,-7,-63,14,-3,-5,-17,4,25,15
23:39:45.969 13,27,19,16,13,16,4,-19,5,13,-8,14,-19,-72,8,-35,-82,-42,-84,-50
23:39:46.018 -86,-59,-54,-89,-17,-20,-38,-15,-37,36,27,28,32,16,31,59,16,20,-19,58
23:39:46.116 63,59,14,59,40,73,56,27,38,36,80,72,13,26,31,7,60,50,50,54
23:39:46.214 7,30,70,27,38,51,-5,24,34,21,48,50,61,-7,48,52,57,36,10,39
23:39:46.410 9,7,12,39,19,-1,11,25,18,20,-18,20,2,20,8,46,51,66,23,72
23:39:46.412 42,50,50,49,49,49,71,112,112,47,52,122,71,98,79,66,46,67,77,90
23:39:46.506 97,97,66,90,77,53,43,31,18,12,50,63,44,90,18,62,73,49,42,40
23:39:46.653 8,87,16,94,38,47,41,82,97,91,16,62,51,29,45,100,31,5,41,12
23:39:46.848 35,32,20,-4,5,20,36,60,-5,11,35,51,11,-7,87,35,58,42,34,23
23:39:46.851 59,79,78,70,35,76,63,53,32,33,16,47,74,68,36,20,26,20,29,19
23:39:46.945 45,-1,-1,35,50,32,50,-34,-2,38,18,66,-16,-1,26,-1,-2,-39,2,2
23:39:47.090 28,3,30,30,28,34,30,87,37,71,4,29,-16,59,26,28,13,47,37,16
23:39:47.188 -4,-15,-3,-18,3,-53,16,0,-19,0,5,-16,-33,-42,11,5,-38,-37,27,3
23:39:47.334 -24,-16,-68,-34,-37,-20,-20,-36,28,-10,-15,17,65,25,52,-12,-37,48,-36,-10
23:39:47.480 -47,-20,18,-25,-20,-79,-45,-35,-38,-35,-19,-13,-14,-15,-4,-15,-19,-38,-13,-47
23:39:47.482 -46,-23,-72,-34,-33,-50,30,26,-8,-10,7,31,31,-2,51,29,-18,-32,-10,8
23:39:47.676 35,-13,-37,-34,-18,30,-2,50,28,-37,19,51,6,31,17,-29,-34,-34,-1,-9
23:39:47.773 36,-101,-60,-16,-57,-44,-64,-57,-31,-20,-63,-56,-27,-16,-33,-61,-10,-95,3,2
23:39:47.871 -16,-20,-57,-9,-47,-57,-13,-9,-11,-41,-30,19,-109,-45,-51,-15,-5,9,-7,-53
23:39:48.017 -4,9,-8,-53,35,-45,-15,-23,-31,-58,-32,-28,-68,-57,-70,-85,-32,-13,-165,-109
23:39:48.163 -30,-69,-89,-89,-51,-25,-67,-5,-83,-99,-88,-87,-78,-78,-45,-47,-45,-83,-56,-43
23:39:48.212 -65,-20,-16,-20,-50,-23,-67,-77,7,-18,-30,-74,-61,-46,-83,-74,3,-62,-110,-9
23:39:48.360 -60,-140,-72,-48,-80,-138,-80,-122,-185,-56,-90,-77,-64,-123,-50,-92,-14,-75,-67,-75
23:39:48.456 -87,-90,-119,-71,-73,-33,-84,-43,-39,-19,-39,-21,-34,-140,-65,-70,-61,-49,-60,-65
23:39:48.554 -46,-24,8,-27,-145,-48,-53,-47,-62,-67,-20,-59,-45,-67,-26,-35,-71,-104,-21,-28
23:39:48.650 -3,-33,-35,-27,-41,-66,-60,-1,10,-14,-41,-33,-43,-32,-4,-1,-43,-77,-91,-75
